Vertex	Core
Vertex	Core
310918	4
128828	2
310919	4
285400	4
285401	14
128820	3
285402	2
285403	3
285404	3
285405	1
285406	5
285407	6
285408	11
285409	1
128818	2
128819	4
310920	2
128810	24
128811	2
128813	3
128814	10
128815	3
128816	9
128817	1
285410	4
285411	3
285412	5
285413	4
285415	6
285416	13
285417	14
61700	4
285418	2
285419	17
61702	1
61703	2
128807	6
128808	1
128809	4
128800	6
128801	3
128802	3
128803	15
128804	34
128805	2
310909	3
285423	3
285425	13
285427	6
61710	7
61711	2
61712	1
61713	17
61714	2
61705	4
61707	29
61708	43
61709	1
310901	8
310902	3
310903	3
310904	1
310905	2
310906	7
310907	5
403198	2
128870	3
128871	2
128872	2
128873	5
36760	22
128874	40
153830	4
128875	43
153831	3
22110	13
153832	3
114224	4
22111	1
153833	3
114225	3
403190	2
114226	9
153834	2
22113	1
114227	2
153835	5
22114	5
114228	2
153836	9
403193	2
114229	3
153837	5
403194	2
153838	6
403195	1
153839	2
114230	2
114231	1
114232	2
114233	1
114234	3
36762	2
128865	36
36763	14
128867	2
36766	6
128869	8
36767	3
36768	4
22129	1
403186	3
403187	3
403188	2
128860	4
403189	2
128861	8
128862	3
128863	2
128864	19
114213	2
22122	5
114214	6
22123	6
403180	3
114215	1
153823	7
22124	2
153824	9
114216	20
403181	3
114217	27
153825	13
403182	4
22126	1
153826	2
114218	1
403183	2
403184	6
153827	7
22128	6
403185	5
153828	2
36759	10
153829	2
114220	3
114221	18
114222	3
22120	20
114223	1
128854	4
36751	2
128855	3
128856	4
128857	3
128858	7
128859	1
36758	2
403177	1
403178	4
128850	1
153850	2
403179	3
128851	50
153851	2
128852	4
153852	19
128853	8
153853	9
114202	5
